,april.n.01,nothing.n.01,pound.n.10,wrinkle.n.01,austral.n.01,acre.n.03,wheat.n.02,billion.n.03,whitethorn.n.01,usage.n.03,hour_angle.n.02,mexico.n.01,volt.n.01,franc.n.01,security.n.04,termination.n.05,montana.n.01,elevation.n.03,dole.n.01,taiwan.n.02,redemption.n.02,portland.n.02,sugar.n.01,percentage.n.01,store.n.02,hectare.n.01,worm.n.02,rescue.n.01,yugoslav.n.01,alberta.n.01,february.n.01,fob.n.03,cooperative.n.01,sellers.n.01,treatment.n.01,duty.n.03,cargo.n.01,colombia.n.01,malted.n.01,basket.n.04,july.n.01,loanword.n.01,mission.n.04,jordan.n.02,bonus.n.02,army.n.02,government_accounting_office.n.01,argentina.n.01,pale_yellow.n.01,semolina.n.01,connecticut.n.01,food_and_agriculture_organization.n.01,home_plate.n.01,estate.n.02,maximum.n.03,june.n.01,cambodia.n.01,workweek.n.01,intravenous_feeding.n.01,ski_tow.n.01,commitment.n.05,license.n.01,protein.n.01,roberts.n.04,rebate.n.01,renewal.n.02,seaway.n.01,burlington.n.01,hydrofluorocarbon.n.01,substitute.n.02,elevator.n.01,registration.n.02,goal.n.01,bushel.n.02,tanzania.n.01,planting.n.03,season.n.03,millimeter.n.01,soviet_union.n.01,metric_ton.n.01,brazil_nut.n.02,pitch.n.02,offerer.n.01,source.n.07,arabian_peninsula.n.01,saudi.n.01,agreement.n.06,lining.n.03,cooperation.n.02,blemish.n.01,january.n.01,water.n.01,peer.n.01,exporter.n.01,algeria.n.01,paddy.n.01,month.n.02,hassium.n.01,barley.n.02,stage_set.n.01
april.n.01,0.2632301742358401,-0.002771377043987828,-0.00102693904690458,0.0,-0.0005249985786611404,0.0,0.0,-0.003879276990444902,0.0,0.0,0.0,0.0,-0.0011593067145546784,-0.0014656984406855819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007493555884573626,0.0,0.0,0.0,0.0,-0.04110276334628601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002024106453417328,0.0,-0.05569433941297244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0561935457039497,0.0,-0.016615723210131012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010397821107678766,0.0,0.0,-0.011704216798041232,-0.0005224759650185733,0.0,-0.0009737355450776659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05101056645284899,0.0,0.0,0.0,0.0,0.0,-0.00518693965001484,0.0,0.0,0.0
nothing.n.01,-0.0027713770439878422,0.11416905461408702,-0.003134355467437107,0.0,-0.0016023659538345638,0.0,0.0,-0.011840072769025503,0.0,0.0,0.0,0.0,-0.0035383593117368165,-0.0044735078825021615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022871335867649736,0.0,0.0,0.0,0.0,-0.0023396624056828677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006177843902290336,0.0,-0.003170247971798409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003198663924804772,0.0,-0.008158627643788462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031735542178983646,0.0,0.0,-0.005746987086253928,-0.0015946665992461965,0.0,-0.002971971256474791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002903637004082415,0.0,0.0,0.0,0.0,0.0,-0.01583123428824191,0.0,0.0,0.0
pound.n.10,-0.0010269390469045867,-0.0031343554674371043,0.1313283098851896,0.0,-0.0070121771238731406,0.0,0.0,-0.012761210025103916,0.0,0.0,0.0,0.0,-0.01548435434641423,-0.01957669505026601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01000881588751673,0.0,0.0,0.0,0.0,-0.0008669663646752021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002289211835216159,0.0,-0.0011747414295981743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011852710151558498,0.0,-0.0030231950267241513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013887916324522442,0.0,0.0,-0.0021295570206637166,-0.0069784836732703194,0.0,-0.013005761141884974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010759482272533186,0.0,0.0,0.0,0.0,0.0,-0.005866294045611517,0.0,0.0,0.0
wrinkle.n.01,0.0,0.0,0.0,0.3287920454169837,0.0,0.02815084890418764,0.0,0.0,0.009832894729855962,0.0,-0.5602237940925995,0.020855066287089156,0.0,0.0,0.0,0.0,0.025870053692802864,0.0,0.0,0.010115326817927216,0.0,0.02365377284063379,0.0,0.0,0.0,0.0,0.005202285824149876,0.0,0.0031846301583147714,0.02977097190625164,0.0,0.0037018096140864322,0.0,0.006196307486696026,0.0,0.0,0.007995598770760413,0.011204050747602085,0.0,0.0,0.0,0.0,0.0,0.009673432278920015,0.0,0.0,0.0,0.006715483091514652,0.04226165074778413,0.0,0.02837253884927741,0.0,0.005925247436070438,0.0,0.062057062198186276,0.0,0.011552439070423966,0.0,0.0,0.004647321322279203,0.0,0.0,0.0,0.005255409493203894,0.0,0.0,0.005153711939107539,0.026615251662566303,0.0,0.006443545242371605,0.004995193788275385,0.0,0.0,0.0,0.006535300291714747,0.0,0.0,0.0,0.02316435874461035,0.0,0.010532112454247346,0.0,0.0043405950696376525,0.0,0.006566647198766715,0.005615069803054798,0.0,0.0,0.0,0.05429106178512144,0.0,0.0,0.010891102627890805,0.006038903766907035,0.008994422171604248,0.0034102114253460733,0.0,0.0,0.003316478721671986,0.007820942265727993
austral.n.01,-0.0005249985786611336,-0.0016023659538345644,-0.007012177123873142,0.0,0.1079812749579546,0.0,0.0,-0.006523870277763632,0.0,0.0,0.0,0.0,-0.007916014146950716,-0.047423509034226805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00511677312384388,0.0,0.0,0.0,0.0,-0.00044321628491332944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011703060306892648,0.0,-0.0006005590913037736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006059420957462813,0.0,-0.0015455377773682505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007099872531788576,0.0,0.0,-0.0010886862393597973,-0.0035675866262169943,0.0,-0.0066488913187952685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005500533763163444,0.0,0.0,0.0,0.0,0.0,-0.002999005681240254,0.0,0.0,0.0
acre.n.03,0.0,0.0,0.0,0.028150848904187606,0.0,0.1386337425575478,0.0,0.0,0.00022787529671160455,0.0,-0.07071415441084006,-0.003782820805938516,0.0,0.0,0.0,0.0,-0.004692470213842691,0.0,0.0,0.00023442060179603731,0.0,-0.019626539628032954,0.0,0.0,0.0,0.0,0.00012056189538540861,0.0,7.38031436499756e-05,-0.005400042866787645,0.0,8.578867031073697e-05,0.0,0.0001435981413245356,0.0,0.0,0.00018529634378589065,-0.00203225996481528,0.0,0.0,0.0,0.0,0.0,-0.0017546269278553833,0.0,0.0,0.0,-0.0012180958243338945,0.007772466665818817,0.0,-0.005146386436699505,0.0,0.00013731638085013153,0.0,0.001438159550160148,0.0,-0.0020954527918230874,0.0,0.0,0.00010770070811527906,0.0,0.0,0.0,0.00012179302540161498,0.0,0.0,0.00011943620567037387,-0.022083804346344257,0.0,0.00014932782505254247,0.00011576258039038794,0.0,0.0,0.0,-0.0011854131545896416,0.0,0.0,0.0,-0.004201694543142394,0.0,0.00024407952250563969,0.0,0.00010059239080382795,0.0,0.00015218068736928846,0.00013012807851408572,0.0,0.0,0.0,0.009984831650214012,0.0,0.0,0.0002523990453504398,0.00013995034275291864,-0.001631463878357577,7.903094274369541e-05,0.0,0.0,7.685870676963293e-05,0.0001812487154932752
wheat.n.02,0.0,0.0,0.0,0.0,0.0,0.0,0.18463730598342293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00401586008322693,0.001710743891469119,0.0,0.00118019619157852,0.0,-0.08055205809792673,0.005235512527286714,0.004269849902859805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002864352875036874,0.0,0.0,0.0,0.0,0.0,0.012520075235807594,0.0,0.0,0.0023037071037716253,0.0,0.0,0.0,0.0,-0.040061558127493783,0.0,0.0,0.0,0.002693765683167626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02256414898862109,0.0,0.0014401089547735233,0.0,0.0,0.0,-0.003321151958735518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012245776065832365,0.0,0.0,0.0,0.0,0.0,-0.012648979635536399,0.0,0.0
billion.n.03,-0.0038792769904449223,-0.011840072769025505,-0.01276121002510392,0.0,-0.0065238702777636335,0.0,0.0,0.2159255062695926,0.0,0.0,0.0,0.0,-0.0144060706548632,-0.018213433106311724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009311832164346811,0.0,0.0,0.0,0.0,-0.0032749778870631158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008647530567053538,0.0,-0.004437602612636841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004477378273223442,0.0,-0.011420162608626718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012920803757389446,0.0,0.0,-0.008044432213384073,-0.00649252313734491,0.0,-0.01210007919856585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004064409872693852,0.0,0.0,0.0,0.0,0.0,-0.022160009962537912,0.0,0.0,0.0
whitethorn.n.01,0.0,0.0,0.0,0.009832894729855919,0.0,0.00022787529671158954,0.0,0.0,0.2172684920613288,0.0,-0.02469995979869488,0.00016881744611982715,0.0,0.0,0.0,0.0,0.00020941273143330598,0.0,0.0,-0.0023581633746420786,0.0,0.00019147239654312005,0.0,0.0,0.0,0.0,-0.0070299194061734715,0.0,-0.00430343393427077,0.00024098985716626943,0.0,-0.0017167251847625127,0.0,-0.008373154363247743,0.0,0.0,-0.0037079826376776536,9.06944723823855e-05,0.0,0.0,0.0,0.0,0.0,7.830443260453722e-05,0.0,0.0,0.0,5.4360446011735995e-05,0.0027148682718744575,0.0,0.00022966983094348985,0.0,-0.0027478510674196436,0.0,0.0005023390772190203,0.0,9.351460376471016e-05,0.0,0.0,-0.0021552090429722143,0.0,0.0,0.0,-0.007101706140819296,0.0,0.0,-0.0023900491930243916,0.0002154449547970316,0.0,-0.008707250096414525,-0.0023165359305540607,0.0,0.0,0.0,5.2901903532019155e-05,0.0,0.0,0.0,0.0001875106907087475,0.0,-0.004884298379407495,0.0,-0.005865505000270348,0.0,-0.0015308676819896202,-0.007587719996519825,0.0,0.0,0.0,0.0034876318950823266,0.0,0.0,-0.014717294725140965,-0.00816045258142487,7.280798629127352e-05,-0.004608264960549806,0.0,0.0,-0.06801574968425982,-0.003626985165595139
usage.n.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09318655948204577,0.0,0.0,0.0,0.0,-0.035797622094277386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009619390002025921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hour_angle.n.02,0.0,0.0,0.0,-0.5602237940925991,0.0,-0.07071415441084002,0.0,0.0,-0.024699959798694916,0.0,1.4072666872293715,-0.05238735011838834,0.0,0.0,0.0,0.0,-0.0649848598767283,0.0,0.0,-0.025409421398038576,0.0,-0.059417623629910925,0.0,0.0,0.0,0.0,-0.013067998208875836,0.0,-0.007999702940503112,-0.07478385861487434,0.0,-0.009298843439534776,0.0,-0.015564953152303926,0.0,0.0,-0.020084723128849125,-0.028144265819101573,0.0,0.0,0.0,0.0,0.0,-0.02429939452918583,0.0,0.0,0.0,-0.016869107922571767,-0.1546781335015278,0.0,-0.0712710334258127,0.0,-0.01488405779672207,0.0,-0.15588562510144602,0.0,-0.029019407657232633,0.0,0.0,-0.011673942718351009,0.0,0.0,0.0,-0.01320144339730131,0.0,0.0,-0.012945981952140249,-0.06685677658090475,0.0,-0.01618600756137475,-0.012547788738393212,0.0,0.0,0.0,-0.016416493709387858,0.0,0.0,0.0,-0.058188228947184506,0.0,-0.026456375397304208,0.0,-0.010903454849051749,0.0,-0.01649523627353289,-0.01410490015531275,0.0,0.0,0.0,-0.1987059178747062,0.0,0.0,-0.027358148791683863,-0.015169559358536531,-0.02259373990616998,-0.008566356848644102,0.0,0.0,-0.008330902887610302,-0.01964599081538475
mexico.n.01,0.0,0.0,0.0,0.02085506628708916,0.0,-0.0037828208059384853,0.0,0.0,0.0001688174461198426,0.0,-0.052387350118388375,0.220765352131474,0.0,0.0,0.0,0.0,-0.0034763348591353833,0.0,0.0,0.00017366642143386104,0.0,-0.003178518145048967,0.0,0.0,0.0,0.0,8.931618113959974e-05,0.0,5.467577401500456e-05,-0.004000527739794957,0.0,6.355504276624021e-05,0.0,0.00010638218286840195,0.0,0.0,0.00013727357017056762,-0.021833330674024452,0.0,0.0,0.0,0.0,0.0,-0.01885061487637804,0.0,0.0,0.0,-0.013086460091609227,0.005758096605951,0.0,-0.003812610789878487,0.0,0.00010172844999024767,0.0,0.001065435463494606,0.0,-0.02251223490486855,0.0,0.0,7.978819447169354e-05,0.0,0.0,0.0,9.022824237737244e-05,0.0,0.0,8.848223351315893e-05,-0.0035764721727261236,0.0,0.00011062691930097982,8.57606921845562e-05,0.0,0.0,0.0,-0.012735337918171689,0.0,0.0,0.0,-0.04514037964626769,0.0,0.00018082206467382462,0.0,7.452212135167665e-05,0.0,0.00011274041267825833,9.640312135734775e-05,0.0,0.0,0.0,0.007397088686006313,0.0,0.0,0.00018698543832539405,0.00010367977480703131,-0.01752742806314417,5.8548697954387505e-05,0.0,0.0,5.6939434752963744e-05,0.00013427495522167553
volt.n.01,-0.0011593067145546682,-0.0035383593117368187,-0.01548435434641423,0.0,-0.007916014146950716,0.0,0.0,-0.014406070654863209,0.0,0.0,0.0,0.0,0.14626005705387277,-0.022100040006241203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011298905712188457,0.0,0.0,0.0,0.0,-0.0009787142974946159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002584280595429227,0.0,-0.001326160137063373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013380469372345082,0.0,-0.0034128708071368414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01567800415684085,0.0,0.0,-0.0024040470177115235,-0.007877977767247258,0.0,-0.01468214327338003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012146329503467273,0.0,0.0,0.0,0.0,0.0,-0.006622432068513387,0.0,0.0,0.0
franc.n.01,-0.0014656984406855725,-0.004473507882502169,-0.019576695050265998,0.0,-0.047423509034226805,0.0,0.0,-0.018213433106311724,0.0,0.0,0.0,0.0,-0.0221000400062412,0.2164895345312258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014285079415044848,0.0,0.0,0.0,0.0,-0.0012373774788888457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032672768918358902,0.0,-0.0016766493461912362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016916776939587747,0.0,-0.004314854177484329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01982152432764184,0.0,0.0,-0.003039409606583855,-0.009960038688851727,0.0,-0.018562468612960674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015356467783527144,0.0,0.0,0.0,0.0,0.0,-0.008372666382851888,0.0,0.0,0.0
security.n.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03579762209427739,0.0,0.0,0.0,0.0,0.28435346548619206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13372244819158105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
termination.n.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24771688304839226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018945095950845238,0.0,0.0,0.0,0.0,0.0,0.0,-0.010676861053406728,0.0,0.0,0.0,0.0,-0.06253603836045438,0.0,0.0,-0.004741815497420495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00707117272065024,0.0,-0.009268616457471455,0.0,0.0,0.0,0.0,-0.007646590068969031,0.0,0.0,0.0,0.0,0.0,0.0,-0.018368113497881606,0.0,0.0,-0.012075429470746185,0.0,0.0,0.0,0.0,0.0,-0.017719041170189243,0.0,0.0,0.0,0.0,-0.020787694186242097,-0.005132999277680128,-0.009481809556225388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
montana.n.01,0.0,0.0,0.0,0.025870053692802878,0.0,-0.004692470213842684,0.0,0.0,0.00020941273143331002,0.0,-0.06498485987672832,-0.0034763348591353846,0.0,0.0,0.0,0.0,0.12546724728791575,0.0,0.0,0.00021542773277648727,0.0,-0.0039428517725148896,0.0,0.0,0.0,0.0,0.00011079391309093841,0.0,6.782357773369162e-05,-0.018670147797581582,0.0,7.883803130507773e-05,0.0,0.0001319637513915183,0.0,0.0,0.00017028354559169275,-0.0018676052927016295,0.0,0.0,0.0,0.0,0.0,-0.0016124662168786035,0.0,0.0,0.0,-0.0011194051193891027,0.0071427377076483875,0.0,-0.01865889430564446,0.0,0.00012619094214831467,0.0,0.0013216391771377508,0.0,-0.0019256782067105945,0.0,0.0,9.897474535059947e-05,0.0,0.0,0.0,0.00011192529636575226,0.0,0.0,0.00010975942729377381,-0.004436501225436965,0.0,0.00013722921340976363,0.00010638344088697146,0.0,0.0,0.0,-0.0010893704151432205,0.0,0.0,0.0,-0.0038612712462706904,0.0,0.00022430408312110571,0.0,9.244234729970429e-05,0.0,0.00013985093546026184,0.00011958503949768446,0.0,0.0,0.0,0.009175855825300153,0.0,0.0,0.00023194955425506904,0.00012861149920084922,-0.0014992818964226912,7.262781805020449e-05,0.0,0.0,7.063157767132497e-05,0.00016656385807481273
elevation.n.03,0.0,0.0,0.0,0.0,0.0,0.0,0.004015860083226934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11455259758903928,-0.003746072860952102,0.0,-0.002584314897114532,0.0,0.004669769362441481,-0.011464376105298262,-0.009349832503394816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006272168863424218,0.0,0.0,0.0,0.0,0.0,-0.010545491065095622,0.0,0.0,-0.005044504150536811,0.0,0.0,0.0,0.0,0.0023224513584495766,0.0,0.0,0.0,-0.005898628409429874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012895771721439136,0.0,-0.0031534545288707185,0.0,0.0,0.0,-0.0018980914163287022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006998656708767265,0.0,0.0,0.0,0.0,0.0,-0.007229093992034397,0.0,0.0
dole.n.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0017107438914691193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003746072860952106,0.12650126220200864,0.0,-0.00496475679070845,0.0,0.001989307208369433,-0.004883788524794393,-0.04521748516594922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012049535059339738,0.0,0.0,0.0,0.0,0.0,-0.004492346358755108,0.0,0.0,-0.009691054393215737,0.0,0.0,0.0,0.0,0.0009893570473972241,0.0,0.0,0.0,-0.011331922237603757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00549355860040444,0.0,-0.006058137421210483,0.0,0.0,0.0,-0.0008085810333623619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002981405966562505,0.0,0.0,0.0,0.0,0.0,-0.0030795715317330926,0.0,0.0
taiwan.n.02,0.0,0.0,0.0,0.01011532681792722,0.0,0.00023442060179603675,0.0,0.0,-0.0023581633746420825,0.0,-0.02540942139803859,0.0001736664214338612,0.0,0.0,0.0,0.0,0.00021542773277648714,0.0,0.0,0.13923236425014748,0.0,0.00019697209426686752,0.0,0.0,0.0,0.0,-0.0012476325875513225,0.0,-0.0007637504933634683,0.0002479118542417476,0.0,-0.0008877824986095879,0.0,-0.0014860227608031295,0.0,0.0,-0.0019175358526203519,9.329950680157017e-05,0.0,0.0,0.0,0.0,0.0,8.055358557660926e-05,0.0,0.0,0.0,5.5921851345300154e-05,0.0027928479447917112,0.0,0.00023626668077280014,0.0,-0.001421016076477196,0.0,0.0005167678571863164,0.0,9.62006413489691e-05,0.0,0.0,-0.0011145388243724826,0.0,0.0,0.0,-0.0012603729141928146,0.0,0.0,-0.0012359834079538703,0.00022163322082850628,0.0,-0.0015453162889330092,-0.0011979669633789744,0.0,0.0,0.0,5.4421414875119386e-05,0.0,0.0,0.0,0.0001928965956093462,0.0,-0.002525852511347052,0.0,-0.0010409785316110513,0.0,-0.06366737808395104,-0.0013466280601395722,0.0,0.0,0.0,0.0035878078031555925,0.0,0.0,-0.0026119469426005397,-0.0014482735834513382,7.48992638002276e-05,-0.0008178502774589218,0.0,0.0,-0.0007953709328830839,-0.0018756490446532204
redemption.n.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0011801961915785181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025843148971145292,-0.004964756790708452,0.0,0.16116872863972997,0.0,0.001372369530532782,-0.0033691943289579506,-0.012391548732828977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008312650103992097,0.0,0.0,0.0,0.0,0.0,-0.003099148908432683,0.0,0.0,-0.06278090448558458,0.0,0.0,0.0,0.0,0.0006825308132164963,0.0,0.0,0.0,-0.007817588322118112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00378985830125804,0.0,-0.03924602332928976,0.0,0.0,0.0,-0.0005578183040229231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002056791776275099,0.0,0.0,0.0,0.0,0.0,-0.0021245135590248158,0.0,0.0
portland.n.02,0.0,0.0,0.0,0.023653772840633778,0.0,-0.019626539628032954,0.0,0.0,0.00019147239654312062,0.0,-0.05941762362991091,-0.003178518145048973,0.0,0.0,0.0,0.0,-0.0039428517725148896,0.0,0.0,0.00019697209426686952,0.0,0.12227501818320953,0.0,0.0,0.0,0.0,0.00010130222702657408,0.0,6.20131492575189e-05,-0.004537390248351577,0.0,7.208399742177136e-05,0.0,0.00012065845071984665,0.0,0.0,0.00015569539799773104,-0.0017076080271847093,0.0,0.0,0.0,0.0,0.0,-0.0014743266504256794,0.0,0.0,0.0,-0.0010235059704587547,0.006530821203666362,0.0,-0.004324255234295989,0.0,0.00011538019656109995,0.0,0.0012084146884471106,0.0,-0.0017607058495732258,0.0,0.0,9.049560434944007e-05,0.0,0.0,0.0,0.00010233668498696058,0.0,0.0,0.0001003563653618263,-0.02120851698131859,0.0,0.00012547282196002747,9.72695988429852e-05,0.0,0.0,0.0,-0.0009960443316077553,0.0,0.0,0.0,-0.0035304771308134943,0.0,0.00020508800995837603,0.0,8.452283516096853e-05,0.0,0.0001278699417561494,0.00010934021989306452,0.0,0.0,0.0,0.008389762614618696,0.0,0.0,0.00021207849554490983,0.00011759338511294137,-0.0013708388016188408,6.640581154063679e-05,0.0,0.0,6.458058856205e-05,0.00015229437515459275
