,microphone.n.01,small_computer_system_interface.n.01,circuit_breaker.n.01,adapter.n.02,cam.n.02
adapter.n.02,4.2086495709425495,4.2086495709425495,4.2086495709425495,13.117759351305402,4.2086495709425495
cam.n.02,4.2086495709425495,4.2086495709425495,4.2086495709425495,4.2086495709425495,12.8300772788536
circuit_breaker.n.01,6.973747537180389,6.973747537180389,10.2335795636571,4.2086495709425495,4.2086495709425495
converter.n.01,4.2086495709425495,4.2086495709425495,4.2086495709425495,4.2086495709425495,4.2086495709425495
cursor.n.01,4.2086495709425495,4.2086495709425495,4.2086495709425495,4.2086495709425495,4.2086495709425495
keyboard.n.01,4.2086495709425495,4.2086495709425495,4.2086495709425495,4.2086495709425495,4.2086495709425495
microphone.n.01,9.95651263927382,6.973747537180389,6.973747537180389,4.2086495709425495,4.2086495709425495
pawl.n.01,4.2086495709425495,4.2086495709425495,4.2086495709425495,4.2086495709425495,4.2086495709425495
small_computer_system_interface.n.01,6.973747537180389,13.5232244594136,6.973747537180389,4.2086495709425495,4.2086495709425495
winder.n.02,4.2086495709425495,4.2086495709425495,4.2086495709425495,4.2086495709425495,5.744037772853018
