,april.n.01,july.n.01,january.n.01,february.n.01,june.n.01
0,april.n.01,july.n.01,january.n.01,february.n.01,june.n.01
1,february.n.01,april.n.01,april.n.01,april.n.01,april.n.01
2,june.n.01,february.n.01,february.n.01,june.n.01,february.n.01
3,january.n.01,june.n.01,june.n.01,january.n.01,january.n.01
4,july.n.01,january.n.01,july.n.01,july.n.01,july.n.01
5,season.n.03,season.n.03,season.n.03,season.n.03,season.n.03
6,workweek.n.01,workweek.n.01,workweek.n.01,workweek.n.01,workweek.n.01
7,malted.n.01,malted.n.01,malted.n.01,malted.n.01,malted.n.01
8,bushel.n.02,bushel.n.02,bushel.n.02,bushel.n.02,bushel.n.02
9,millimeter.n.01,millimeter.n.01,millimeter.n.01,millimeter.n.01,millimeter.n.01
