,april.n.01,july.n.01,january.n.01,february.n.01,june.n.01
april.n.01,8.45432025719332,5.24834145841488,5.24834145841488,5.24834145841488,5.24834145841488
bushel.n.02,2.35783709233789,2.35783709233789,2.35783709233789,2.35783709233789,2.35783709233789
february.n.01,5.24834145841488,5.24834145841488,5.24834145841488,9.04588764493535,5.24834145841488
january.n.01,5.24834145841488,5.24834145841488,8.30828870180457,5.24834145841488,5.24834145841488
july.n.01,5.24834145841488,8.050953785742081,5.24834145841488,5.24834145841488,5.24834145841488
june.n.01,5.24834145841488,5.24834145841488,5.24834145841488,5.24834145841488,8.02605623412035
malted.n.01,2.35783709233789,2.35783709233789,2.35783709233789,2.35783709233789,2.35783709233789
millimeter.n.01,2.35783709233789,2.35783709233789,2.35783709233789,2.35783709233789,2.35783709233789
season.n.03,3.68947324427207,3.68947324427207,3.68947324427207,3.68947324427207,3.68947324427207
workweek.n.01,3.68947324427207,3.68947324427207,3.68947324427207,3.68947324427207,3.68947324427207
