,1,35,31,57,38
april.n.01,1.51170058051471,0.06926705802720401,0.062294468938762004,0.052058937106209006,0.04879080014755201
hassium.n.01,0.002041119727868,N/A,N/A,N/A,N/A
pale_yellow.n.01,4.13044097230194e-05,N/A,0.069979058176401,N/A,0.083356690920784
redemption.n.02,2.8401531512929903e-06,N/A,0.9559969288265641,N/A,N/A
nothing.n.01,1.10536066377852e-06,N/A,N/A,N/A,N/A
workweek.n.01,7.37517643104685e-07,N/A,N/A,N/A,N/A
worm.n.02,7.145248567181281e-08,N/A,0.0,1.31792317573385e-09,1.16219117206479
peer.n.01,1.53703406907081e-08,N/A,N/A,2.83448974249419e-10,0.24995721897154896
government_accounting_office.n.01,3.5983599287359604e-15,N/A,N/A,N/A,N/A
duty.n.03,0.0,N/A,N/A,N/A,N/A
