,2,28,99,37,27
0,microphone.n.01,range.n.04,volt.n.01,mode.n.06,phosphorus.n.01
1,range.n.04,cam.n.02,mistake.n.01,mistake.n.01,bible.n.02
2,cam.n.02,microphone.n.01,mortarboard.n.01,dram.n.01,transcript.n.02
3,volt.n.01,volt.n.01,mode.n.06,volt.n.01,space.n.08
4,mistake.n.01,mistake.n.01,fiberglass.n.01,mortarboard.n.01,version.n.06
5,mode.n.06,mode.n.06,million.n.01,fiberglass.n.01,turk.n.01
6,fiberglass.n.01,fiberglass.n.01,turk.n.01,million.n.01,volt.n.01
7,million.n.01,million.n.01,keyboard.n.01,turk.n.01,magnesium.n.01
8,turk.n.01,turk.n.01,gunman.n.02,keyboard.n.01,mode.n.06
9,keyboard.n.01,keyboard.n.01,hexagon.n.01,gunman.n.02,fiberglass.n.01
