,microphone.n.01,small_computer_system_interface.n.01,circuit_breaker.n.01,adapter.n.02,cam.n.02
adapter.n.02,4.2086495709425495,4.2086495709425495,4.2086495709425495,13.117759351305402,4.2086495709425495
adobe.n.02,3.35394846143047,3.35394846143047,3.35394846143047,3.35394846143047,3.35394846143047
ampere.n.01,0.0,0.0,0.0,0.0,0.0
armenian.n.03,0.0,0.0,0.0,0.0,0.0
bathtub.n.01,3.35394846143047,3.35394846143047,3.35394846143047,3.35394846143047,3.35394846143047
bel.n.01,0.0,0.0,0.0,0.0,0.0
bible.n.02,2.56104499047427,2.56104499047427,2.56104499047427,2.56104499047427,2.56104499047427
cam.n.02,4.2086495709425495,4.2086495709425495,4.2086495709425495,4.2086495709425495,12.8300772788536
car.n.02,3.35394846143047,3.35394846143047,3.35394846143047,3.35394846143047,3.35394846143047
church_service.n.01,0.0,0.0,0.0,0.0,0.0
circuit_breaker.n.01,6.973747537180389,6.973747537180389,10.2335795636571,4.2086495709425495,4.2086495709425495
comprehensive_examination.n.01,0.0,0.0,0.0,0.0,0.0
console_table.n.01,3.35394846143047,3.35394846143047,3.35394846143047,3.35394846143047,3.35394846143047
controversy.n.01,0.0,0.0,0.0,0.0,0.0
converter.n.01,4.2086495709425495,4.2086495709425495,4.2086495709425495,4.2086495709425495,4.2086495709425495
cursor.n.01,4.2086495709425495,4.2086495709425495,4.2086495709425495,4.2086495709425495,4.2086495709425495
day.n.04,0.0,0.0,0.0,0.0,0.0
dram.n.01,0.0,0.0,0.0,0.0,0.0
driver.n.05,3.35394846143047,3.35394846143047,3.35394846143047,3.35394846143047,3.35394846143047
dyer.n.01,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294
ethernet.n.01,3.35394846143047,3.35394846143047,3.35394846143047,3.35394846143047,3.35394846143047
familiar.n.03,0.0,0.0,0.0,0.0,0.0
fiberglass.n.01,2.56104499047427,2.56104499047427,2.56104499047427,2.56104499047427,2.56104499047427
font.n.01,0.0,0.0,0.0,0.0,0.0
goal.n.04,0.0,0.0,0.0,0.0,0.0
gram.n.01,0.0,0.0,0.0,0.0,0.0
great.n.01,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294
gunman.n.02,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294
hexagon.n.01,0.0,0.0,0.0,0.0,0.0
hoard.n.01,0.0,0.0,0.0,0.0,0.0
human_immunodeficiency_virus.n.01,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294
junior.n.04,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294,1.55201187493294
