,familiar.n.03,microphone.n.01,leo.n.03,nan.n.04,gram.n.01,wagon.n.04,small_computer_system_interface.n.01,objective.n.02,comprehensive_examination.n.01,goal.n.04,starter.n.07,cursor.n.01,testing.n.02,musical_instrument_digital_interface.n.01,version.n.06,policy.n.03,tire.n.01,phosphorus.n.01,tiger.n.02,thinker.n.01,winder.n.02,ma.n.01,hoard.n.01,speaker.n.03,portland.n.02,car.n.02,mortarboard.n.01,mode.n.06,fiberglass.n.01,million.n.01,turk.n.01,keyboard.n.01,gunman.n.02,hexagon.n.01,magnesium.n.01,ruthenium.n.01,mistake.n.01,price.n.05,tribe.n.01,range.n.04,plot.n.01,human_immunodeficiency_virus.n.01,bible.n.02,dram.n.01,adobe.n.02,adapter.n.02,spice.n.02,restrainer.n.02,motorcycle.n.01,tempest.n.02,console_table.n.01,lyric.n.02,font.n.01,pointer.n.04,cam.n.02,performance.n.02,slide.n.05,ethernet.n.01,pop_music.n.01,kilometer.n.01,circuit_breaker.n.01,signal.n.01,windowpane.n.01,great.n.01,manta.n.01,wrong.n.02,transcript.n.02,wise_men.n.01,senator.n.01,sunlight.n.01,church_service.n.01,omnipotence.n.01,variety_show.n.01,dyer.n.01,reduced_instruction_set_computing.n.01,bathtub.n.01,marriage.n.04,space.n.08,peter.n.01,junior.n.04,subject.n.06,bel.n.01,day.n.04,new_mexico.n.01,pawl.n.01,ocean.n.01,national_rifle_association.n.01,driver.n.05,stick.n.03,scanner.n.04,controversy.n.01,rhode_island.n.01,phone.n.02,ampere.n.01,converter.n.01,armenian.n.03,macintosh.n.02,yeast.n.01,liaison.n.02,volt.n.01
adapter.n.02,3.384685122211109e-19,-0.006014655288212893,-0.0042075814295266896,0.0,0.0,-0.0008895119968529541,-0.0027391964439025668,-0.0091137205277097,3.0448587696280423e-21,1.6429146208443082e-19,0.0,-0.006309581181815109,4.91700603158723e-19,0.0,-7.027005533461593e-20,0.0,-0.0016366633809481255,0.0,-5.0166908470771135e-18,4.995509141073349e-19,-0.007245142415490588,-1.263197973239633e-18,0.0,6.517624996672931e-19,-0.0032933943769026413,-0.0027475794278479762,-0.00069883692256587,-2.3284567552287776e-19,0.0004332201488529132,0.0,9.294279451637977e-19,-0.008121311768319407,-1.6118915737375e-19,0.0,0.0,0.0,3.5121388126319243e-19,0.0,0.0,0.00040367952199547364,9.38830114258605e-19,2.1898864748790714e-18,-0.0011226475962599304,0.0,-0.0032033870539541955,0.10580595583152863,0.0,-4.798562269610308e-19,-0.0015477602342177756,0.0,-0.002528407015258515,0.0,0.0,1.6597024493776073e-18,-0.0053632669044309115,6.923947011129031e-20,2.2630778072722765e-19,-0.0023892686454919554,0.0,0.0,-0.005503444272309146,0.0,-0.0008204713598236353,-3.3724727757236322e-18,-0.000702163369404198,-1.9920002150370165e-18,0.0,0.0,-1.108538133903156e-18,0.0,1.8066557787247072e-19,0.0,2.8579167905839264e-18,4.593135435815286e-19,0.0,-0.0015937032679527276,0.0,0.0,0.046885630885812414,-2.6239396261821027e-18,-3.636665383255568e-18,0.0,0.0,-0.0034757327263668656,-0.007594717639526295,0.0,0.0,-0.002407766895035342,-0.002699919934807129,-0.0020021741028559545,-1.9696273637426963e-19,-0.0028050391475146087,0.0,0.0,-0.009113720527709701,0.0,-0.0011559788487068275,0.0,-1.6474244280600345e-19,0.0
adobe.n.02,-1.800223069252815e-20,-0.002992413966439023,0.0007498217597504688,0.0,0.0,-0.0021899316871870156,-0.0013628062295802214,-0.004534262278801962,4.3666484889539355e-21,-3.5367660870742706e-20,0.0,-0.0031391456278210598,-8.704035605897424e-20,0.0,1.1294899762716418e-20,0.0,0.0002916653752223991,0.0,1.8750149062769728e-18,3.913270067675636e-20,-0.0036046064677125607,-3.614286634485315e-19,0.0,-1.6043638641842317e-18,0.0005869069460931014,-0.006764395841085154,0.00012453784670208822,2.0752450843264748e-20,-0.08098009836192611,0.0,3.177694156454783e-18,-0.00404051863270545,2.699341492246382e-19,0.0,0.0,0.0,-5.576822555063564e-20,0.0,0.0,-7.193864090989527e-05,8.722357807240735e-20,4.503396889633487e-19,0.00020006400596313538,0.0,0.16082675135588642,-0.0032033870539541908,0.0,-1.5259100377397332e-18,-0.003810504178778186,0.0,-0.0062248049047233965,0.0,0.0,2.13815706821034e-18,-0.0026683349288547276,2.024819502796193e-20,-4.8774399103071945e-20,-0.005882253566536454,0.0,0.0,-0.002738076035088946,0.0,0.00014621399232600134,5.7917098842890915e-18,0.00012513064383835317,3.2820787100420523e-19,0.0,0.0,8.588206491745094e-19,0.0,-2.8532163142792914e-20,0.0,-4.328980083392851e-19,2.854695565295521e-18,0.0,-0.00392361350809317,0.0,0.0,-0.008355362064084305,5.186862834738045e-19,7.437347000836996e-19,0.0,0.0,0.0006194009724964361,-0.003778527288208378,0.0,0.0,-0.005927795282641306,-0.0066470606793620005,-0.00492924719016952,2.5907046229900414e-20,0.0004998784753156778,0.0,0.0,-0.0045342622788019675,0.0,0.00020600387873400696,0.0,3.115467327704419e-20,0.0
ampere.n.01,0.0,0.0,0.0,0.0,-0.011984231567522223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012341735313418213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006941195275614328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023837662507065053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010116034657013568,-0.00509581631338274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11523478494374531,0.0,0.0,0.0,0.0,0.0,-0.05747578756369252
armenian.n.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011375691243604174,0.0,-0.02301750825502441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02359072566564513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017621882120864952,2.33451429591506e-18,0.0,0.0,0.0,0.0,0.0,-0.0038910625354508215,0.0,0.0,-0.01665257599973374,0.0,0.0,0.0,0.0,-0.004366515858064721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11210566364037965,0.0,0.0,0.0,0.0
bathtub.n.01,4.187510903624631e-19,-0.0014887429577061081,-0.005153583708504562,0.0,0.0,-0.013423178933134813,-0.0006780038456443698,-0.0022558212572413067,2.1150589939448184e-21,1.9386156383996217e-19,0.0,-0.0015617427932920287,6.320677927596379e-19,0.0,-1.144125334152659e-19,0.0,-0.0020046389779101942,0.0,2.1343868054608976e-19,3.129792133150458e-18,-0.0017933122068986168,-4.356771346837944e-19,0.0,1.6674693454038102e-18,-0.004033857428730847,-0.041462341624944596,-0.0008559583787881912,-2.795709339746243e-19,0.0005306222443270775,0.0,1.0984497705415055e-18,-0.002010180986783317,7.560514952025446e-19,0.0,0.0,0.0,4.0321295055620447e-19,0.0,0.0,0.0004944399158655799,1.1483675717772326e-18,3.0082415229255494e-18,-0.001375055589388294,0.0,-0.003923613508093155,-0.001593703267952722,0.0,1.0649385277702155e-18,-0.023356472586091883,0.0,-0.0030968758229762486,0.0,0.0,-6.956693760750112e-19,-0.0013275117943861731,-6.91447494925144e-21,2.813451294624356e-19,-0.002926454585106711,0.0,0.0,-0.0013622083911582915,0.0,-0.0010049402261377894,-2.8252957504330045e-19,-0.000860032719955514,-2.1175326952664656e-18,0.0,0.0,1.2493972813351576e-18,0.0,1.803148337124124e-19,0.0,3.559032163096305e-18,1.6169819860398595e-18,0.0,0.13553163413574917,0.0,0.0,0.057427058167063214,-2.1028956087539075e-18,7.585721085114424e-19,0.0,0.0,-0.004257191418333498,-0.0018798388036915523,0.0,0.0,-0.0029491118477359243,-0.003306950471034396,-0.002452328495809766,-2.5524869336290324e-19,-0.0034357039297930113,0.0,0.0,-0.0022558212572412963,0.0,-0.0014158808003726594,0.0,-2.0496061435289103e-19,0.0
bel.n.01,0.0,0.0,0.0,0.0,-0.030284260009928437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03118767516293487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01754046234187149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006023798566687223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1501180904635848,-0.012877173252855022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010116034657013563,0.0,0.0,0.0,0.0,0.0,-0.01960786427092168
bible.n.02,1.2854716867196678e-18,-0.0010487107208261375,-0.016658118270284773,0.0,0.0,-0.0007674756447427196,-0.0004776042083074988,-0.00158906137858854,-2.9452717894369793e-20,6.671115262127861e-19,0.0,-0.0011001337752904582,1.940503386359849e-18,0.0,-2.8399645433866796e-19,0.0,-0.0064796683380041065,0.0,2.6711164569838894e-18,4.845662044774703e-18,-0.0012632575203316027,1.0738248184338128e-18,0.0,4.915878455287137e-19,-0.013038785810808912,-0.002370626029024818,-0.0027667457665944057,-8.381782147230054e-19,-0.004788398592230168,0.0,3.070471521141765e-18,-0.0014160257422065272,-2.404337746836805e-18,0.0,0.0,0.0,1.3622415393968986e-18,0.0,0.0,0.0015981963351922516,3.2856084462763723e-18,-1.4685192286212306e-18,0.09693855679623906,0.0,0.00020006400596314425,-0.0011226475962599304,0.0,-3.765607593219659e-19,-0.0013354156974453967,0.0,-0.0021815229148936673,0.0,0.0,7.072660182005437e-19,-0.0009351351377278848,8.202737429578199e-20,9.064444533738775e-19,-0.00206147359524105,0.0,0.0,-0.0009595763569610497,0.0,-0.003248305274239474,-8.392835193098953e-19,-0.002779915409483252,-7.538622621622829e-18,0.0,0.0,1.4419026266570124e-18,0.0,6.821264366165635e-19,0.0,1.0985968618546156e-17,-1.638017418881844e-19,0.0,-0.0013750555893882876,0.0,0.0,0.1856235934002207,7.839848444510705e-19,-5.986619333983802e-19,0.0,0.0,-0.013760676483979982,-0.0013242091904796618,0.0,0.0,-0.002077433982560324,-0.00232950516693522,-0.0017274863811989382,-7.7270156785005345e-19,-0.011105352244444509,0.0,0.0,-0.0015890613785885385,0.0,-0.004576603614745061,0.0,-6.634902319843602e-19,0.0
cam.n.02,2.823648143106431e-19,-0.005010045467577376,-0.0035048017318256323,0.0,0.0,-0.0007409394777656486,-0.0022816766831962043,-0.007591483141536064,4.8078330052996824e-20,1.2484171326684348e-19,0.0,-0.005255710774350428,4.182440592355255e-19,0.0,-5.0148910248264156e-20,0.0,-0.0013632964086467856,0.0,3.066014672812162e-18,2.4872584421084372e-18,-0.03340210687511671,1.2126740589639871e-19,0.0,6.9021586467470905e-19,-0.002743308598795636,-0.0022886594824935887,-0.0005821122888519158,-2.6308126622081175e-19,0.00036086068764028934,0.0,2.9087624000577853e-18,-0.006764833438649306,5.42981109776261e-19,0.0,0.0,0.0,3.180014090033735e-19,0.0,0.0,0.0003362541430247295,9.252253753628664e-19,1.260653838927529e-18,-0.0009351351377278862,0.0,-0.002668334928854724,-0.005363266904430915,0.0,-7.231169391309065e-19,-0.001289242487684325,0.0,-0.0021060947801632996,0.0,0.0,1.9339016482861778e-18,0.11639641381684694,2.5127734953533245e-19,1.889274087782293e-19,-0.0019901962746943077,0.0,0.0,-0.004584220493330961,0.0,-0.000683430491123426,2.213099324957982e-18,-0.0005848831292587007,-2.0584698033234897e-18,0.0,0.0,1.5568151681489304e-18,0.0,1.8669407450016675e-19,0.0,2.683689293627759e-18,1.5733727460821316e-18,0.0,-0.0013275117943861733,0.0,0.0,0.03905446467968148,-2.223081435339556e-18,4.83765103565311e-19,0.0,0.0,-0.0028951915210121046,-0.0063261947466891795,0.0,0.0,-0.0020056048171363905,-0.002248960411531973,-0.001667756971704152,-1.58603171249658e-19,-0.0023365218776416853,0.0,0.0,-0.007591483141536053,0.0,-0.0009628991711177092,0.0,-1.253077424320157e-19,0.0
car.n.02,7.369557511978413e-19,-0.0025666255483064136,-0.008884891473787052,0.0,0.0,-0.05512546547208884,-0.0011688935172275406,-0.003889085379902895,2.9739541053424366e-20,3.0704492880310747e-19,0.0,-0.00269247886775765,1.171668920825446e-18,0.0,-2.646244139513254e-19,0.0,-0.0034560416149762648,0.0,-8.241521475052616e-19,2.8531491358574655e-18,-0.0030917096215237814,-1.4154720134234445e-18,0.0,2.4163923680624496e-19,-0.006954458780956397,0.29127529607646174,-0.0014756910398218066,-5.176639666684772e-19,0.0009148044004104043,0.0,8.423225910652428e-19,-0.0034655961599627423,5.136595836070654e-18,0.0,0.0,0.0,6.423649374708576e-19,0.0,0.0,0.0008524252716657299,2.088277306115227e-18,2.7681117900556215e-18,-0.0023706260290248214,0.0,-0.006764395841085173,-0.002747579427847987,0.0,-3.240317610891941e-19,-0.09591888996697666,0.0,-0.0053390819187689375,0.0,0.0,1.972080886159795e-18,-0.0022886594824935826,-1.1943909613405956e-19,4.95337839263399e-19,-0.005045271962640625,0.0,0.0,-0.0023484771771827046,0.0,-0.0017325390159361887,4.6903984854675806e-18,-0.0014827152934570199,-3.082816135431082e-18,0.0,0.0,5.760205040372953e-19,0.0,2.2905379117449094e-19,0.0,6.4902470497807374e-18,5.349043133981302e-18,0.0,-0.0414623416249446,0.0,0.0,0.09900550924033943,-8.32883416927165e-19,-3.3580276557413816e-19,0.0,0.0,-0.0073394914829096386,-0.003240883374311128,0.0,0.0,-0.005084333580912501,-0.0057012552247560876,-0.004227868174022094,-4.732368665990858e-19,-0.005923229014772765,0.0,0.0,-0.0038890853799028804,0.0,-0.002441009589185507,0.0,-3.538443148679555e-19,0.0
church_service.n.01,-0.002560241290003044,0.0002106534339402759,-0.016224252834425534,0.0,0.0,0.00015416203612681473,9.59358615739576e-05,0.0003191931096859954,-0.004232761971117432,-0.004203690803676724,0.0,0.00022098272951386267,-0.014503630607842844,0.0,-0.003838951028290984,0.0,0.001301564253218795,0.0,0.001093505584522939,0.0012044363832662802,0.0002537492268593285,0.0006060558124850529,0.0,0.000836398485258603,-0.01269918691992016,0.00047618518976222444,0.0005557533502791825,-0.0020703847782451113,0.000961840654907614,0.0,0.0011287027227693189,0.0002844356210153372,0.0010846299171719902,0.0,0.0,0.0,-0.00758884659759294,0.0,0.0,0.003714815097453725,-0.002594562048580937,0.0010090743451019733,0.0008927907823094743,0.0,-4.018664921322007e-05,0.00022550505736286278,0.0,0.0012081157011235861,0.000268243564996652,0.0,0.0004382002435139869,0.0,0.0,0.0007268719084118098,0.00018783962445373636,-0.023662999681057922,-0.0039531598806305775,0.000414086061285454,0.0,0.0,0.00019274910679133677,0.0,0.0006524837087255115,0.0017354369284027515,0.0005583987227762952,-0.018808278283986322,0.0,0.0,0.0013644932659030334,0.0,0.11869621073353104,0.0,-0.004499453411008072,0.0010201884576584027,0.0,0.000276205988945381,0.0,0.0,0.19364119897118948,0.0012388041027050873,0.0014113081540692268,0.0,0.0,-0.013402275744858666,0.0002659925255746997,0.0,0.0,0.0004172920077195423,0.00046792528487736015,0.0003469983962764695,-0.006987250758737129,-0.010816110181581877,0.0,0.0,0.0003191931096859963,0.0,0.0009192976176214167,0.0,-0.0031671092709255463,0.0
