index_P,index_sent,words_not_stop
0,0,[]
0,1,"['also', 'said', 'year', 'mln', 'tonnes', 'pct', 'China', 'fruit', 'output', 'left', 'rot', 'mln', 'tonnes', 'pct', 'vegetables']"
0,2,"['paper', 'blamed', 'waste', 'inadequate', 'storage', 'bad', 'preservation', 'methods']"
0,3,"['said', 'government', 'launched', 'national', 'programme', 'reduce', 'waste', 'calling', 'improved', 'technology', 'storage', 'preservation', 'greater', 'production', 'additives']"
0,4,"['paper', 'gave', 'details']"
1,0,[]
1,1,"['said', 'Janunary', 'March', 'imports', 'rose', 'billion', 'baht', 'billion']"
1,2,"['Thailand', 'improved', 'business', 'climate', 'year', 'resulted', 'pct', 'increase', 'imports', 'raw', 'materials', 'semi', 'finished', 'products']"
1,3,"['country', 'oil', 'import', 'bill', 'however', 'fell', 'pct', 'first', 'quarter', 'due', 'lower', 'oil', 'prices']"
1,4,"['department', 'said', 'first', 'quarter', 'exports', 'expanded', 'billion', 'baht', 'billion']"
1,5,"['Export', 'growth', 'smaller', 'expected', 'due', 'lower', 'earnings', 'many', 'key', 'commodities', 'including', 'rice', 'whose', 'earnings', 'declined', 'pct', 'maize', 'pct', 'sugar', 'pct', 'tin', 'pct', 'canned', 'pineapples', 'seven', 'pct']"
1,6,"['Products', 'registering', 'high', 'export', 'growth', 'jewellery', 'pct', 'clothing', 'pct', 'rubber', 'pct']"
2,0,"['SRI', 'LANKA', 'GETS', 'USDA', 'APPROVAL', 'WHEAT', 'PRICE', 'Food', 'Department', 'officials', 'said', 'U', 'Department', 'Agriculture', 'approved', 'Continental', 'Grain', 'Co', 'sale', 'tonnes', 'soft', 'wheat', 'U', 'Dlrs', 'tonne', 'C', 'F', 'PacificNorthwestto', 'Colombo']"
2,1,"['said', 'shipment', 'April', 'delivery']"
3,0,[]
3,1,[]
3,2,[]
3,3,[]
3,4,[]
3,5,"['Insists', 'Japan', 'open', 'protected', 'rice', 'market', 'also', 'open', 'wheat', 'market', 'volume', 'origin', 'regulated', 'protect', 'local', 'farmers']"
3,6,[]
3,7,[]
3,8,[]
3,9,[]
3,10,[]
3,11,"['Beef', 'citrus', 'imports']"
3,12,[]
3,13,"['Australia', 'largest', 'beef', 'supplier', 'Japan', 'trying', 'boost', 'exports', 'prior', 'expiry', 'four', 'year', 'beef', 'accord', 'next', 'March']"
3,14,"['Imports', 'U', 'Corn', 'fallen', 'due', 'increased', 'sales', 'China', 'South', 'America', 'Japanese', 'soybean', 'imports', 'Brazil', 'expected', 'rise', 'sharply', 'year', 'although', 'U', 'remain', 'largest', 'supplier']"
3,15,[]
3,16,[]
3,17,[]
3,18,"['Agricultural', 'exports', 'beef', 'market', 'alone', 'representing', 'one', 'billion', 'dlrs', 'new', 'business']"
3,19,"['U', 'also', 'asked', 'General', 'Agreement', 'Tariffs', 'Trade', 'investigate', 'legality', 'Japanese', 'import', 'controls', 'farm', 'products', 'including', 'fruit', 'juices', 'purees', 'pulp', 'tomato', 'juice', 'ketchup', 'sauce', 'peanuts', 'prepared', 'beef', 'products', 'miscellaneous', 'beans']"
3,20,"['help', 'calm', 'heated', 'trade', 'relations', 'U', 'Japan', 'top', 'business', 'group', 'Keidanren', 'urged', 'government', 'remove', 'residual', 'import', 'restrictions', 'agricultural', 'products']"
3,21,"['Agriculture', 'Minister', 'Kato', 'ruled', 'emotional', 'reaction', 'senior', 'ministry', 'official', 'said', 'farm', 'issue', 'become', 'scapegoat', 'trade', 'pressure', 'industrial', 'sector']"
3,22,[]
4,0,[]
