,familiar.n.03,microphone.n.01,leo.n.03,nan.n.04,gram.n.01,wagon.n.04,small_computer_system_interface.n.01,objective.n.02,comprehensive_examination.n.01,goal.n.04,starter.n.07,cursor.n.01,testing.n.02,musical_instrument_digital_interface.n.01,version.n.06,policy.n.03,tire.n.01,phosphorus.n.01,tiger.n.02,thinker.n.01,winder.n.02,ma.n.01,hoard.n.01,speaker.n.03,portland.n.02,car.n.02,mortarboard.n.01,mode.n.06,fiberglass.n.01,million.n.01,turk.n.01,keyboard.n.01,gunman.n.02,hexagon.n.01,magnesium.n.01,ruthenium.n.01,mistake.n.01,price.n.05,tribe.n.01,range.n.04,plot.n.01,human_immunodeficiency_virus.n.01,bible.n.02,dram.n.01,adobe.n.02,adapter.n.02,spice.n.02,restrainer.n.02,motorcycle.n.01,tempest.n.02,console_table.n.01,lyric.n.02,font.n.01,pointer.n.04,cam.n.02,performance.n.02,slide.n.05,ethernet.n.01,pop_music.n.01,kilometer.n.01,circuit_breaker.n.01,signal.n.01,windowpane.n.01,great.n.01,manta.n.01,wrong.n.02,transcript.n.02,wise_men.n.01,senator.n.01,sunlight.n.01,church_service.n.01,omnipotence.n.01,variety_show.n.01,dyer.n.01,reduced_instruction_set_computing.n.01,bathtub.n.01,marriage.n.04,space.n.08,peter.n.01,junior.n.04,subject.n.06,bel.n.01,day.n.04,new_mexico.n.01,pawl.n.01,ocean.n.01,national_rifle_association.n.01,driver.n.05,stick.n.03,scanner.n.04,controversy.n.01,rhode_island.n.01,phone.n.02,ampere.n.01,converter.n.01,armenian.n.03,macintosh.n.02,yeast.n.01,liaison.n.02,volt.n.01
466,0.0029,0.0,0.0,0.1129,0.0002,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0002,0.0001,0.0002,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0035,0.0001,0.0,0.0,0.0,0.0005,0.0,0.0005,0.0001,0.0,0.0001,0.0002,0.0,0.0,0.0003,0.0002,0.0003,0.0,0.001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0001,0.0,0.0,0.0006,0.0,0.0002,0.0,0.0002,0.0002,0.0003,0.0001,0.0,0.0001,0.0002,0.0003,0.0001,0.0002,0.0,0.0002,0.0002,0.0,0.0001,0.0001,0.0001,0.0005,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0003,0.0,0.0077,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0001
144,0.0029,0.0,0.0,0.1129,0.0002,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0002,0.0001,0.0002,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0035,0.0001,0.0,0.0,0.0,0.0005,0.0,0.0005,0.0001,0.0,0.0001,0.0002,0.0,0.0,0.0003,0.0002,0.0003,0.0,0.001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0001,0.0,0.0,0.0006,0.0,0.0002,0.0,0.0002,0.0002,0.0003,0.0001,0.0,0.0001,0.0002,0.0003,0.0001,0.0002,0.0,0.0002,0.0002,0.0,0.0001,0.0001,0.0001,0.0005,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0003,0.0,0.0077,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0001
251,0.2101,0.0004,0.0024,0.0029,0.0,0.0003,0.0002,0.0006,0.0,0.0,0.0011,0.0004,0.0,0.0,0.0,0.0,0.0026,0.0,0.0059,0.0093,0.0005,0.0047,0.0037,0.0065,0.0019,0.001,0.0011,0.0,0.0019,0.0001,0.0087,0.0006,0.0084,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0042,0.0,0.007,0.0018,0.0,0.0,0.0005,0.0047,0.0093,0.0005,0.0008,0.0009,0.0,0.0,0.0039,0.0004,0.0,0.0,0.0008,0.0,0.0,0.0004,0.0002,0.0013,0.0134,0.0011,0.0,0.0,0.0001,0.0105,0.0014,0.0,0.0001,0.0,0.0079,0.0001,0.0006,0.0001,0.0001,0.0,0.0096,0.0109,0.0,0.0001,0.002,0.0005,0.0031,0.0001,0.0008,0.0009,0.0007,0.0,0.0016,0.0082,0.0,0.0006,0.0,0.0018,0.0062,0.0,0.0
424,0.0029,0.0,0.0,0.1129,0.0002,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0002,0.0001,0.0002,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0035,0.0001,0.0,0.0,0.0,0.0005,0.0,0.0005,0.0001,0.0,0.0001,0.0002,0.0,0.0,0.0003,0.0002,0.0003,0.0,0.001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0001,0.0,0.0,0.0006,0.0,0.0002,0.0,0.0002,0.0002,0.0003,0.0001,0.0,0.0001,0.0002,0.0003,0.0001,0.0002,0.0,0.0002,0.0002,0.0,0.0001,0.0001,0.0001,0.0005,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0003,0.0,0.0077,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0001
423,0.0029,0.0,0.0,0.1129,0.0002,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0002,0.0001,0.0002,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0035,0.0001,0.0,0.0,0.0,0.0005,0.0,0.0005,0.0001,0.0,0.0001,0.0002,0.0,0.0,0.0003,0.0002,0.0003,0.0,0.001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0001,0.0,0.0,0.0006,0.0,0.0002,0.0,0.0002,0.0002,0.0003,0.0001,0.0,0.0001,0.0002,0.0003,0.0001,0.0002,0.0,0.0002,0.0002,0.0,0.0001,0.0001,0.0001,0.0005,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0003,0.0,0.0077,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0001
394,0.0029,0.0,0.0,0.1129,0.0002,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0002,0.0001,0.0002,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0035,0.0001,0.0,0.0,0.0,0.0005,0.0,0.0005,0.0001,0.0,0.0001,0.0002,0.0,0.0,0.0003,0.0002,0.0003,0.0,0.001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0001,0.0,0.0,0.0006,0.0,0.0002,0.0,0.0002,0.0002,0.0003,0.0001,0.0,0.0001,0.0002,0.0003,0.0001,0.0002,0.0,0.0002,0.0002,0.0,0.0001,0.0001,0.0001,0.0005,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0003,0.0,0.0077,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0001
577,0.0029,0.0,0.0,0.1129,0.0002,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0002,0.0001,0.0002,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0035,0.0001,0.0,0.0,0.0,0.0005,0.0,0.0005,0.0001,0.0,0.0001,0.0002,0.0,0.0,0.0003,0.0002,0.0003,0.0,0.001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0001,0.0,0.0,0.0006,0.0,0.0002,0.0,0.0002,0.0002,0.0003,0.0001,0.0,0.0001,0.0002,0.0003,0.0001,0.0002,0.0,0.0002,0.0002,0.0,0.0001,0.0001,0.0001,0.0005,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0003,0.0,0.0077,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0001
542,0.0029,0.0,0.0,0.1129,0.0002,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0002,0.0001,0.0002,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0035,0.0001,0.0,0.0,0.0,0.0005,0.0,0.0005,0.0001,0.0,0.0001,0.0002,0.0,0.0,0.0003,0.0002,0.0003,0.0,0.001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0001,0.0,0.0,0.0006,0.0,0.0002,0.0,0.0002,0.0002,0.0003,0.0001,0.0,0.0001,0.0002,0.0003,0.0001,0.0002,0.0,0.0002,0.0002,0.0,0.0001,0.0001,0.0001,0.0005,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0003,0.0,0.0077,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0001
388,0.0029,0.0,0.0,0.1129,0.0002,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0002,0.0001,0.0002,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0035,0.0001,0.0,0.0,0.0,0.0005,0.0,0.0005,0.0001,0.0,0.0001,0.0002,0.0,0.0,0.0003,0.0002,0.0003,0.0,0.001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0001,0.0,0.0,0.0006,0.0,0.0002,0.0,0.0002,0.0002,0.0003,0.0001,0.0,0.0001,0.0002,0.0003,0.0001,0.0002,0.0,0.0002,0.0002,0.0,0.0001,0.0001,0.0001,0.0005,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0003,0.0,0.0077,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0001
574,0.0024,0.0,0.1023,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0004,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0001,0.0
