index_P,april.n.01,nothing.n.01,pound.n.10,wrinkle.n.01,austral.n.01,acre.n.03,wheat.n.02,billion.n.03,whitethorn.n.01,usage.n.03,hour_angle.n.02,mexico.n.01,volt.n.01,franc.n.01,security.n.04,termination.n.05,montana.n.01,elevation.n.03,dole.n.01,taiwan.n.02,redemption.n.02,portland.n.02,sugar.n.01,percentage.n.01,store.n.02,hectare.n.01,worm.n.02,rescue.n.01,yugoslav.n.01,alberta.n.01,february.n.01,fob.n.03,cooperative.n.01,sellers.n.01,treatment.n.01,duty.n.03,cargo.n.01,colombia.n.01,malted.n.01,basket.n.04,july.n.01,loanword.n.01,mission.n.04,jordan.n.02,bonus.n.02,army.n.02,government_accounting_office.n.01,argentina.n.01,pale_yellow.n.01,semolina.n.01,connecticut.n.01,food_and_agriculture_organization.n.01,home_plate.n.01,estate.n.02,maximum.n.03,june.n.01,cambodia.n.01,workweek.n.01,intravenous_feeding.n.01,ski_tow.n.01,commitment.n.05,license.n.01,protein.n.01,roberts.n.04,rebate.n.01,renewal.n.02,seaway.n.01,burlington.n.01,hydrofluorocarbon.n.01,substitute.n.02,elevator.n.01,registration.n.02,goal.n.01,bushel.n.02,tanzania.n.01,planting.n.03,season.n.03,millimeter.n.01,soviet_union.n.01,metric_ton.n.01,brazil_nut.n.02,pitch.n.02,offerer.n.01,source.n.07,arabian_peninsula.n.01,saudi.n.01,agreement.n.06,lining.n.03,cooperation.n.02,blemish.n.01,january.n.01,water.n.01,peer.n.01,exporter.n.01,algeria.n.01,paddy.n.01,month.n.02,hassium.n.01,barley.n.02,stage_set.n.01
235,0,0,0,0.2944,0.5849,0,0,0,2.2705,2.9779,0.0499,0,3.735,0,0.0307,0,0,0.272,3.241,1.3323,0,0.1224,3.7718,2.3261,0,0.0634,0,0,0.6784,0.2392,1.1486,0.2235,0.6526,0.0105,0.2938,0.871,0.1782,0.0794,4.24,0,0.0057,2.6951,0,0.0199,0,2.6289,0.0168,0.0381,4.802,0,0,0,0.0019,0,0.0641,0,0.1565,0,0.0677,0,0,0.0397,0,0,0,0.1068,0,0,0.1444,0.0062,2.8009,0,0,0.8771,0,0.8215,0,0,20.6081,0,0,1.023,0,0.0027,0.0002,1.2961,0,0,0,0.0012,0.058,0.0003,0,1.9413,0,0.0814,0.2067,0,0,0
66,0,0,0,0.2944,0.5849,0,0,0,2.2705,2.9779,0.0499,0,3.735,0,0.0307,0,0,0.272,3.241,1.3323,0,0.1224,3.7718,2.3261,0,0.0634,0,0,0.6784,0.2392,1.1486,0.2235,0.6526,0.0105,0.2938,0.871,0.1782,0.0794,4.24,0,0.0057,2.6951,0,0.0199,0,2.6289,0.0168,0.0381,4.802,0,0,0,0.0019,0,0.0641,0,0.1565,0,0.0677,0,0,0.0397,0,0,0,0.1068,0,0,0.1444,0.0062,2.8009,0,0,0.8771,0,0.8215,0,0,20.6081,0,0,1.023,0,0.0027,0.0002,1.2961,0,0,0,0.0012,0.058,0.0003,0,1.9413,0,0.0814,0.2067,0,0,0
299,0,0,0,0.2944,0.5849,0,0,0,2.2705,2.9779,0.0499,0,3.735,0,0.0307,0,0,0.272,3.241,1.3323,0,0.1224,3.7718,2.3261,0,0.0634,0,0,0.6784,0.2392,1.1486,0.2235,0.6526,0.0105,0.2938,0.871,0.1782,0.0794,4.24,0,0.0057,2.6951,0,0.0199,0,2.6289,0.0168,0.0381,4.802,0,0,0,0.0019,0,0.0641,0,0.1565,0,0.0677,0,0,0.0397,0,0,0,0.1068,0,0,0.1444,0.0062,2.8009,0,0,0.8771,0,0.8215,0,0,20.6081,0,0,1.023,0,0.0027,0.0002,1.2961,0,0,0,0.0012,0.058,0.0003,0,1.9413,0,0.0814,0.2067,0,0,0
271,0,0,0,0.2944,0.5849,0,0,0,2.2705,2.9779,0.0499,0,3.735,0,0.0307,0,0,0.272,3.241,1.3323,0,0.1224,3.7718,2.3261,0,0.0634,0,0,0.6784,0.2392,1.1486,0.2235,0.6526,0.0105,0.2938,0.871,0.1782,0.0794,4.24,0,0.0057,2.6951,0,0.0199,0,2.6289,0.0168,0.0381,4.802,0,0,0,0.0019,0,0.0641,0,0.1565,0,0.0677,0,0,0.0397,0,0,0,0.1068,0,0,0.1444,0.0062,2.8009,0,0,0.8771,0,0.8215,0,0,20.6081,0,0,1.023,0,0.0027,0.0002,1.2961,0,0,0,0.0012,0.058,0.0003,0,1.9413,0,0.0814,0.2067,0,0,0
44,0,1.6975,0,0.0044,0,0,0,1.3618,0.9573,0,0.7433,2.2917,0,0,0,0,0,0,0,0,0,0,0,0.3419,0.0807,0,0,0,0,0.5285,0,0.1169,0,0,0,0,0,0.045,1.4824,0,0,0.372,0,0,0,1.9155,0.068,0,0.633,0,0,0,0,0.0405,0.3306,0.1342,0,0.0247,0,0,0,0,0.4256,0.0819,0.1965,0.9015,0,0,0.0435,0.0596,0.5313,0,0.5902,0.5137,0,0.7995,1.3267,2.5036,0,0.6268,6.1048,0,0,0,0,0.1761,0,0,0,0.2021,0,0.1622,0.0802,0,0.0487,0.1232,0.4437,0,0.0299,0
388,0,0,0,0,2.6134,0.0165,1.4075,0,3.8766,3.2969,0.4969,3.2667,0,0,0.3787,0,0,0,2.0908,0,0,0,0,0,0,1.1287,0,0,0,1.8714,0,0.1441,0.0586,0.4255,0,0,0.0102,0.2,0,1.5157,0,0,0.0108,0,0,2.92,0,0,0,0,0.1975,0,0,0.053,0.1547,0.0718,0,0,0,0,0,0,0,0,0.212,0.3448,0,0,0,0.0108,0.6301,0,0.236,1.311,0,0,0,0.414,0.4877,0.0942,0.5776,0,0.5149,0.0027,0.0001,1.4398,0,0,0.0542,0.0422,2.5542,0,0,0,0,0.0355,0,0,0,0
89,0,0,2.478,0.0839,1.3431,0,0,0,0,0.5671,0.751,0.5443,2.7968,0,0,3.8105,0,0,0.4131,0.3385,0,0,0,0,0.5428,0,0,0.5509,0,0,0,0.0127,0,0,1.2967,0,0,0.014,1.3754,0,0,0.002,0.3114,0.1938,0,3.8328,0,0,0.0012,0,0,0,0,0,0.2685,0,0,0,0,0.0094,0,0.2808,0.3222,0,0.0131,0.2617,0,0,0,0.0444,0.7741,0.0664,0,0.1482,0.7732,0,0,0,4.3324,0,1.1642,0.0395,0.0973,0.0095,0.0653,1.5898,3.045,1.4062,0,0,0.0905,0,0,0,0,0,2.9442,0,0,0.0072
53,0,1.6271,0,0,0,0.0605,0,1.1129,0.628,0,0.6746,2.1126,0,0,0,0,0,0,0,0,0,0,0,0.0421,0.1025,0,0,0,0,0.5451,0,0.1105,0.0554,0,0,0,0,0,0.9747,0,0,0.0494,0,0,0.0672,1.8231,0.0805,0,0.0875,0,0,0.0604,0,0.0312,0.6991,0,0,0,0,0,0,0,1.2149,0.4247,0.201,0.7664,0,0,0.085,0.0665,0.4526,0,0.5544,0.6148,0,0.5627,2.5186,2.3036,0,0.6152,5.5648,0,0,0,0.1318,0.1424,0,0,0.0059,0,0,0,0.0749,0,0.0868,0.0466,0.3077,0,0.0616,0.0617
268,0,1.3623,0,0.0397,0,0.4382,0,1.6018,1.2339,0,0.5357,1.8757,0,0,0,0,0,0,0.1897,0,0,0,0,0.7464,0.1724,0,0,0,0,0.5299,0,0.1306,0,0,0,0,0,0.057,2.0146,0,0,0.873,0,0,0,2.762,0,0,1.5488,0,0,0,0,0.029,0.4999,0,0,0.2203,0,0,0,0,0.6489,0,0.0188,0.8167,0,0,0,0,1.01,0,0.8833,0.5004,0,0.759,0.4701,1.6913,0,0.5429,5.4027,0,0,0.046,0,0.4437,0,0,0,0.3903,0,0.3248,0.0349,0,0.0711,0,0.2315,0.0527,0,0.0049
131,0,0,0,0,1.5508,0,1.8645,0,0.9845,1.2715,0.2579,0.7207,4.918,0,0,0,0,0,0.9407,0.7183,0,0.1296,0,0,0,0.1032,1.6799,0.8529,0,1.0826,0,0,0.0988,0,0,0,0.9711,0,2.2778,0,0.009,0,0,0.0013,0.0029,3.0078,0,0.0527,0,0,0.2618,0.1908,0,0,2.2744,2.1049,0,0,0,2.0518,0,0.0686,0,0,0,0.6758,0,0,0.1265,0,1.6407,0,0,0.3231,0,0,0,0,5.233,0,0,0.9837,0.4631,0.1103,0.2332,0.6981,0,0,0.0098,0,0.1179,0,0,0,0,0,0,0.0591,0.0001,0
