index_P,index_sent,full_word,lesks,lesks_name
0,0,,[],[]
0,1,also- said- year- mln- tonnes- pct- China- fruit- output- left- rot- mln- tonnes- pct- vegetables,"[Synset('besides.r.02'), Synset('suppose.v.01'), Synset('year.n.03'), Synset('metric_ton.n.01'), Synset('percentage.n.01'), Synset('taiwan.n.01'), Synset('yield.n.03'), Synset('output.v.01'), Synset('left.n.05'), Synset('putrefaction.n.01'), Synset('metric_ton.n.01'), Synset('percentage.n.01'), Synset('vegetable.n.02')]","['besides.r.02', 'suppose.v.01', 'year.n.03', 'metric_ton.n.01', 'percentage.n.01', 'taiwan.n.01', 'yield.n.03', 'output.v.01', 'left.n.05', 'putrefaction.n.01', 'metric_ton.n.01', 'percentage.n.01', 'vegetable.n.02']"
0,2,paper- blamed- waste- inadequate- storage- bad- preservation- methods,"[Synset('paper.n.05'), Synset('blasted.s.01'), Synset('neutralize.v.04'), Synset('inadequate.s.02'), Synset('storehouse.n.01'), Synset('regretful.a.01'), Synset('preservation.n.03'), Synset('method.n.01')]","['paper.n.05', 'blasted.s.01', 'neutralize.v.04', 'inadequate.s.02', 'storehouse.n.01', 'regretful.a.01', 'preservation.n.03', 'method.n.01']"
0,3,said- government- launched- national- programme- reduce- waste- calling- improved- technology- storage- preservation- greater- production- additives,"[Synset('suppose.v.01'), Synset('government.n.03'), Synset('launch.v.03'), Synset('national.n.01'), Synset('program.v.02'), Synset('reduce.v.15'), Synset('neutralize.v.04'), Synset('visit.v.03'), Synset('improved.s.03'), Synset('technology.n.01'), Synset('storehouse.n.01'), Synset('preservation.n.03'), Synset('greater.a.01'), Synset('production.n.06'), Synset('additive.n.01')]","['suppose.v.01', 'government.n.03', 'launch.v.03', 'national.n.01', 'program.v.02', 'reduce.v.15', 'neutralize.v.04', 'visit.v.03', 'improved.s.03', 'technology.n.01', 'storehouse.n.01', 'preservation.n.03', 'greater.a.01', 'production.n.06', 'additive.n.01']"
0,4,paper- gave- details,"[Synset('paper.n.05'), Synset('give.v.43'), Synset('detail.v.02')]","['paper.n.05', 'give.v.43', 'detail.v.02']"
1,0,,[],[]
1,1,said- Janunary- March- imports- rose- billion- baht- billion,"[Synset('suppose.v.01'), Synset('master_of_architecture.n.01'), Synset('significance.n.02'), Synset('rose.s.01'), Synset('million.n.02'), Synset('baht.n.01'), Synset('million.n.02')]","['suppose.v.01', 'master_of_architecture.n.01', 'significance.n.02', 'rose.s.01', 'million.n.02', 'baht.n.01', 'million.n.02']"
1,2,Thailand- improved- business- climate- year- resulted- pct- increase- imports- raw- materials- semi- finished- products,"[Synset('thailand.n.01'), Synset('improved.s.03'), Synset('business.n.04'), Synset('climate.n.02'), Synset('year.n.03'), Synset('result.v.03'), Synset('percentage.n.01'), Synset('increase.n.03'), Synset('significance.n.02'), Synset('sensitive.s.04'), Synset('material.n.05'), Synset('trailer_truck.n.01'), Synset('finished.s.04'), Synset('product.n.05')]","['thailand.n.01', 'improved.s.03', 'business.n.04', 'climate.n.02', 'year.n.03', 'result.v.03', 'percentage.n.01', 'increase.n.03', 'significance.n.02', 'sensitive.s.04', 'material.n.05', 'trailer_truck.n.01', 'finished.s.04', 'product.n.05']"
1,3,country- oil- import- bill- however- fell- pct- first- quarter- due- lower- oil- prices,"[Synset('state.n.04'), Synset('vegetable_oil.n.01'), Synset('significance.n.02'), Synset('poster.n.01'), Synset('however.r.01'), Synset('hide.n.01'), Synset('percentage.n.01'), Synset('first_gear.n.01'), Synset('stern.n.01'), Synset('due.n.02'), Synset('lower.v.01'), Synset('vegetable_oil.n.01'), Synset('price.n.05')]","['state.n.04', 'vegetable_oil.n.01', 'significance.n.02', 'poster.n.01', 'however.r.01', 'hide.n.01', 'percentage.n.01', 'first_gear.n.01', 'stern.n.01', 'due.n.02', 'lower.v.01', 'vegetable_oil.n.01', 'price.n.05']"
1,4,department- said- first- quarter- exports- expanded- billion- baht- billion,"[Synset('department.n.03'), Synset('suppose.v.01'), Synset('first_gear.n.01'), Synset('stern.n.01'), Synset('export.v.02'), Synset('elaborate.v.01'), Synset('million.n.02'), Synset('baht.n.01'), Synset('million.n.02')]","['department.n.03', 'suppose.v.01', 'first_gear.n.01', 'stern.n.01', 'export.v.02', 'elaborate.v.01', 'million.n.02', 'baht.n.01', 'million.n.02']"
1,5,Export- growth- smaller- expected- due- lower- earnings- many- key- commodities- including- rice- whose- earnings- declined- pct- maize- pct- sugar- pct- tin- pct- canned- pineapples- seven- pct,"[Synset('export.v.02'), Synset('increase.n.03'), Synset('little.s.05'), Synset('expect.v.05'), Synset('due.n.02'), Synset('lower.v.01'), Synset('net_income.n.01'), Synset('many.a.01'), Synset('winder.n.02'), Synset('commodity.n.01'), Synset('include.v.03'), Synset('rice.v.01'), Synset('net_income.n.01'), Synset('worsen.v.01'), Synset('percentage.n.01'), Synset('gamboge.n.02'), Synset('percentage.n.01'), Synset('sugar.n.01'), Synset('percentage.n.01'), Synset('tin.v.03'), Synset('percentage.n.01'), Synset('canned.s.02'), Synset('pineapple.n.02'), Synset('seven-spot.n.01'), Synset('percentage.n.01')]","['export.v.02', 'increase.n.03', 'little.s.05', 'expect.v.05', 'due.n.02', 'lower.v.01', 'net_income.n.01', 'many.a.01', 'winder.n.02', 'commodity.n.01', 'include.v.03', 'rice.v.01', 'net_income.n.01', 'worsen.v.01', 'percentage.n.01', 'gamboge.n.02', 'percentage.n.01', 'sugar.n.01', 'percentage.n.01', 'tin.v.03', 'percentage.n.01', 'canned.s.02', 'pineapple.n.02', 'seven-spot.n.01', 'percentage.n.01']"
1,6,Products- registering- high- export- growth- jewellery- pct- clothing- pct- rubber- pct,"[Synset('product.n.05'), Synset('register.v.01'), Synset('senior_high_school.n.01'), Synset('export.v.02'), Synset('increase.n.03'), Synset('jewelry.n.01'), Synset('percentage.n.01'), Synset('clothing.n.01'), Synset('percentage.n.01'), Synset('rubber_eraser.n.01'), Synset('percentage.n.01')]","['product.n.05', 'register.v.01', 'senior_high_school.n.01', 'export.v.02', 'increase.n.03', 'jewelry.n.01', 'percentage.n.01', 'clothing.n.01', 'percentage.n.01', 'rubber_eraser.n.01', 'percentage.n.01']"
2,0,SRI- LANKA- GETS- USDA- APPROVAL- WHEAT- PRICE- Food- Department- officials- said- U- Department- Agriculture- approved- Continental- Grain- Co- sale- tonnes- soft- wheat- U- Dlrs- tonne- C- F- PacificNorthwestto- Colombo,"[Synset('receive.v.02'), Synset('department_of_agriculture.n.01'), Synset('approval.n.04'), Synset('pale_yellow.n.01'), Synset('price.n.05'), Synset('food.n.02'), Synset('department.n.03'), Synset('official.n.02'), Synset('suppose.v.01'), Synset('uranium.n.01'), Synset('department.n.03'), Synset('agribusiness.n.01'), Synset('approved.s.01'), Synset('continental.a.04'), Synset('texture.n.05'), Synset('colorado.n.01'), Synset('sale.n.05'), Synset('metric_ton.n.01'), Synset('soft.s.10'), Synset('pale_yellow.n.01'), Synset('uranium.n.01'), Synset('metric_ton.n.01'), Synset('vitamin_c.n.01'), Synset('fluorine.n.01'), Synset('colombo.n.01')]","['receive.v.02', 'department_of_agriculture.n.01', 'approval.n.04', 'pale_yellow.n.01', 'price.n.05', 'food.n.02', 'department.n.03', 'official.n.02', 'suppose.v.01', 'uranium.n.01', 'department.n.03', 'agribusiness.n.01', 'approved.s.01', 'continental.a.04', 'texture.n.05', 'colorado.n.01', 'sale.n.05', 'metric_ton.n.01', 'soft.s.10', 'pale_yellow.n.01', 'uranium.n.01', 'metric_ton.n.01', 'vitamin_c.n.01', 'fluorine.n.01', 'colombo.n.01']"
2,1,said- shipment- April- delivery,"[Synset('suppose.v.01'), Synset('cargo.n.01'), Synset('april.n.01'), Synset('pitch.n.02')]","['suppose.v.01', 'cargo.n.01', 'april.n.01', 'pitch.n.02']"
3,0,,[],[]
3,1,,[],[]
3,2,,[],[]
3,3,,[],[]
3,4,,[],[]
3,5,Insists- Japan- open- protected- rice- market- also- open- wheat- market- volume- origin- regulated- protect- local- farmers,"[Synset('insist.v.03'), Synset('japan.v.01'), Synset('unfold.v.04'), Synset('protected.s.02'), Synset('rice.v.01'), Synset('marketplace.n.02'), Synset('besides.r.02'), Synset('unfold.v.04'), Synset('pale_yellow.n.01'), Synset('marketplace.n.02'), Synset('volume.n.06'), Synset('origin.n.03'), Synset('regulated.a.01'), Synset('protect.v.02'), Synset('local_anesthetic.n.01'), Synset('farmer.n.01')]","['insist.v.03', 'japan.v.01', 'unfold.v.04', 'protected.s.02', 'rice.v.01', 'marketplace.n.02', 'besides.r.02', 'unfold.v.04', 'pale_yellow.n.01', 'marketplace.n.02', 'volume.n.06', 'origin.n.03', 'regulated.a.01', 'protect.v.02', 'local_anesthetic.n.01', 'farmer.n.01']"
3,6,,[],[]
3,7,,[],[]
3,8,,[],[]
3,9,,[],[]
3,10,,[],[]
3,11,Beef- citrus- imports,"[Synset('gripe.v.01'), Synset('citrus.n.02'), Synset('significance.n.02')]","['gripe.v.01', 'citrus.n.02', 'significance.n.02']"
3,12,,[],[]
